Package,LibPath,Version,Priority,Built
quantmod,/Users/amanda/Library/R/3.3/library,0.4-11,NA,3.3.2
quantreg,/Users/amanda/Library/R/3.3/library,5.34,NA,3.3.2
R.methodsS3,/Users/amanda/Library/R/3.3/library,1.7.1,NA,3.3.3
R.oo,/Users/amanda/Library/R/3.3/library,1.21.0,NA,3.3.3
R.utils,/Users/amanda/Library/R/3.3/library,2.5.0,NA,3.3.3
R6,/Users/amanda/Library/R/3.3/library,2.2.2,NA,3.3.3
ranger,/Users/amanda/Library/R/3.3/library,0.9.0,NA,3.3.2
rappdirs,/Users/amanda/Library/R/3.3/library,0.3.1,NA,3.3.3
RColorBrewer,/Users/amanda/Library/R/3.3/library,1.1-2,NA,3.3.3
Rcpp,/Users/amanda/Library/R/3.3/library,0.12.14,NA,3.3.2
RcppArmadillo,/Users/amanda/Library/R/3.3/library,0.8.100.1.0,NA,3.3.2
RcppEigen,/Users/amanda/Library/R/3.3/library,0.3.3.3.1,NA,3.3.2
RcppParallel,/Users/amanda/Library/R/3.3/library,4.3.20,NA,3.3.3
RcppRoll,/Users/amanda/Library/R/3.3/library,0.2.2,NA,3.3.0
RCurl,/Users/amanda/Library/R/3.3/library,1.95-4.8,NA,3.3.0
rdrop2,/Users/amanda/Library/R/3.3/library,0.8.1,NA,3.3.2
readr,/Users/amanda/Library/R/3.3/library,1.1.1,NA,3.3.3
readxl,/Users/amanda/Library/R/3.3/library,1.0.0,NA,3.3.3
recipes,/Users/amanda/Library/R/3.3/library,0.1.1,NA,3.3.2
registry,/Users/amanda/Library/R/3.3/library,0.3,NA,3.3.3
rematch,/Users/amanda/Library/R/3.3/library,1.0.1,NA,3.3.3
rematch2,/Users/amanda/Library/R/3.3/library,2.0.0.9000,NA,3.3.3
repr,/Users/amanda/Library/R/3.3/library,0.12.0,NA,3.3.3
reprex,/Users/amanda/Library/R/3.3/library,0.1.1,NA,3.3.3
reshape,/Users/amanda/Library/R/3.3/library,0.8.7,NA,3.3.2
reshape2,/Users/amanda/Library/R/3.3/library,1.4.3,NA,3.3.2
reticulate,/Users/amanda/Library/R/3.3/library,1.2,NA,3.3.2
rex,/Users/amanda/Library/R/3.3/library,1.1.2,NA,3.3.2
Rfit,/Users/amanda/Library/R/3.3/library,0.23.0,NA,3.3.0
rgexf,/Users/amanda/Library/R/3.3/library,0.15.3,NA,3.3.3
Rglpk,/Users/amanda/Library/R/3.3/library,0.6-3,NA,3.3.2
RgoogleMaps,/Users/amanda/Library/R/3.3/library,1.4.1,NA,3.3.0
rJava,/Users/amanda/Library/R/3.3/library,0.9-9,NA,3.3.2
rjson,/Users/amanda/Library/R/3.3/library,0.2.15,NA,3.3.0
RJSONIO,/Users/amanda/Library/R/3.3/library,1.3-0,NA,3.3.3
rlang,/Users/amanda/Library/R/3.3/library,0.1.6.9003,NA,3.3.3
rlist,/Users/amanda/Library/R/3.3/library,0.4.6.1,NA,3.3.0
rmarkdown,/Users/amanda/Library/R/3.3/library,1.6,NA,3.3.3
rms,/Users/amanda/Library/R/3.3/library,5.1-1,NA,3.3.2
RMySQL,/Users/amanda/Library/R/3.3/library,0.10.13,NA,3.3.2
rngtools,/Users/amanda/Library/R/3.3/library,1.2.4,NA,3.3.3
robustbase,/Users/amanda/Library/R/3.3/library,0.92-7,NA,3.3.2
Rook,/Users/amanda/Library/R/3.3/library,1.1-1,NA,3.3.3
rowr,/Users/amanda/Library/R/3.3/library,1.1.3,NA,3.3.2
roxygen2,/Users/amanda/Library/R/3.3/library,6.0.1.9000,NA,3.3.3
roxygen2Comment,/Users/amanda/Library/R/3.3/library,0.1.1,NA,3.3.3
rpart,/Users/amanda/Library/R/3.3/library,4.1-11,recommended,3.3.3
RPostgreSQL,/Users/amanda/Library/R/3.3/library,0.6-2,NA,3.3.3
rprojroot,/Users/amanda/Library/R/3.3/library,1.2,NA,3.3.3
rsconnect,/Users/amanda/Library/R/3.3/library,0.8.5,NA,3.3.2
RSQLite,/Users/amanda/Library/R/3.3/library,2.0,NA,3.3.3
rstudioapi,/Users/amanda/Library/R/3.3/library,0.7.0-9000,NA,3.3.3
runr,/Users/amanda/Library/R/3.3/library,0.0.8,NA,3.3.3
rvest,/Users/amanda/Library/R/3.3/library,0.3.2,NA,3.3.0
sandwich,/Users/amanda/Library/R/3.3/library,2.4-0,NA,3.3.3
scales,/Users/amanda/Library/R/3.3/library,0.5.0.9000,NA,3.3.3
scatterplot3d,/Users/amanda/Library/R/3.3/library,0.3-40,NA,3.3.3
selectr,/Users/amanda/Library/R/3.3/library,0.3-1,NA,3.3.3
seriation,/Users/amanda/Library/R/3.3/library,1.2-2,NA,3.3.2
servr,/Users/amanda/Library/R/3.3/library,0.7,NA,3.3.2
sfsmisc,/Users/amanda/Library/R/3.3/library,1.1-1,NA,3.3.2
shiny,/Users/amanda/Library/R/3.3/library,1.0.5.9000,NA,3.3.3
shinycssloaders,/Users/amanda/Library/R/3.3/library,0.2.0,NA,3.3.3
shinyFiles,/Users/amanda/Library/R/3.3/library,0.6.2,NA,3.3.0
shinyHeatmaply,/Users/amanda/Library/R/3.3/library,0.1.0,NA,3.3.3
shinythemes,/Users/amanda/Library/R/3.3/library,1.1.1,NA,3.3.3
showtext,/Users/amanda/Library/R/3.3/library,0.5,NA,3.3.2
showtextdb,/Users/amanda/Library/R/3.3/library,2.0,NA,3.3.2
skimr,/Users/amanda/Library/R/3.3/library,0.9100,NA,3.3.3
slipper,/Users/amanda/Library/R/3.3/library,0.0.0.9001,NA,3.3.3
SnowballC,/Users/amanda/Library/R/3.3/library,0.5.1,NA,3.3.3
sourcetools,/Users/amanda/Library/R/3.3/library,0.1.6,NA,3.3.3
sp,/Users/amanda/Library/R/3.3/library,1.2-5,NA,3.3.2
sparklyr,/Users/amanda/Library/R/3.3/library,0.6.3,NA,3.3.2
SparseM,/Users/amanda/Library/R/3.3/library,1.77,NA,3.3.2
spatial,/Users/amanda/Library/R/3.3/library,7.3-11,recommended,3.3.3
sqldf,/Users/amanda/Library/R/3.3/library,0.4-11,NA,3.3.3
stargazer,/Users/amanda/Library/R/3.3/library,5.2,NA,3.3.0
statebins,/Users/amanda/Library/R/3.3/library,1.2.2,NA,3.3.0
stopwords,/Users/amanda/Library/R/3.3/library,0.9.0,NA,3.3.2
stringdist,/Users/amanda/Library/R/3.3/library,0.9.4.6,NA,3.3.2
stringi,/Users/amanda/Library/R/3.3/library,1.1.5,NA,3.3.3
stringr,/Users/amanda/Library/R/3.3/library,1.2.0,NA,3.3.3
strucchange,/Users/amanda/Library/R/3.3/library,1.5-1,NA,3.3.0
styler,/Users/amanda/Library/R/3.3/library,1.0.0,NA,3.3.2
survival,/Users/amanda/Library/R/3.3/library,2.41-3,recommended,3.3.3
swirl,/Users/amanda/Library/R/3.3/library,2.4.3,NA,3.3.3
sysfonts,/Users/amanda/Library/R/3.3/library,0.7.1,NA,3.3.2
tensorflow,/Users/amanda/Library/R/3.3/library,1.4,NA,3.3.2
testthat,/Users/amanda/Library/R/3.3/library,1.0.2,NA,3.3.0
tfruns,/Users/amanda/Library/R/3.3/library,1.0,NA,3.3.2
TH.data,/Users/amanda/Library/R/3.3/library,1.0-8,NA,3.3.3
tibble,/Users/amanda/Library/R/3.3/library,1.3.4,NA,3.3.2
tibbletime,/Users/amanda/Library/R/3.3/library,0.0.2,NA,3.3.2
tidyjson,/Users/amanda/Library/R/3.3/library,0.2.2,NA,3.3.3
tidyquant,/Users/amanda/Library/R/3.3/library,0.5.3,NA,3.3.3
tidyr,/Users/amanda/Library/R/3.3/library,0.7.2,NA,3.3.2
tidyselect,/Users/amanda/Library/R/3.3/library,0.2.3.9000,NA,3.3.3
